No,Category,Criteria,Metrics,Score,Passing Grade,Pass/Not Pass,Infraction Details
1,Absensi,Absensi awal auditor,,,,,
2,Inventaris,Tablet,"3 - Tablet ada, kondisi baik, menyala
2 - Tablet ada, kondisi baik, tidak menyala
1 - Tablet ada, kondisi rusak, menyala/tidak menyala
0 - Tablet hilang",3,3.0,Pass,1 Unit
3,Inventaris,Charger tablet,"3 - Charger ada, kondisi baik, tercolok
2 - Charger ada, kondisi baik, tidak tercolok
1 - Charger ada, kondisi rusak, tercolok/tidak tercolok
0 - Charger hilang",2,3.0,Pass,1 pcs
4,Inventaris,Chiller,"2 - Seluruh chiller dalam kondisi baik
1 - Sebagian chiller dalam kondisi baik
0 - Seluruh chiller dalam kondisi tidak baik",2,2.0,Pass,1 Unit
5,Inventaris,Freezer,"2 - Seluruh freezer dalam kondisi baik
1 - Sebagian freezer dalam kondisi baik
0 - Seluruh freezer dalam kondisi tidak baik",2,2.0,Pass,1 Unit
7,Inventaris,Kipas,"2 - Seluruh kipas dalam kondisi baik
1 - Sebagian kipas dalam kondisi baik
0 - Seluruh kipas dalam kondisi tidak baik",2,2.0,Pass,1 unit
8,Inventaris,Modem,"1 - Fisik modem dalam keadaan baik
0 - Fisik modem rusak",1,1.0,Pass,1 Unit
10,Inventaris,CCTV,"2 - Fisik CCTV baik, tercolok
1 - Fisik CCTV baik, tidak tercolok
0 - Fisik CCTV rusak / hilang",2,2.0,Pass,2 Unit
15,Inventaris,QRIS sticker,"1 - Sticker ada
0 - Sticker tidak ada",1,1.0,Pass,1 Unit
16,Inventaris,Cash register,"2 - Kondisi cash register normal
1 - Kondisi cash register abnormal
0 - Cash register hilang",2,2.0,Pass,1 Unit
20,Inventaris,Sapu,"2 - Inventaris ada dalam keadaan baik
1 - Inventaris ada dalam keadaan rusak / buruk
0 - Inventaris hilang",2,2.0,Pass,1 pcs
21,Inventaris,Tongkat pel,"2 - Inventaris ada dalam keadaan baik
1 - Inventaris ada dalam keadaan rusak / buruk
0 - Inventaris hilang",2,2.0,Pass,1 pcs
22,Inventaris,Kanebo,"2 - Inventaris ada dalam keadaan baik
1 - Inventaris ada dalam keadaan rusak / buruk
0 - Inventaris hilang",2,2.0,Pass,1 pcs
25,Inventaris,Lap meja,"2 - Inventaris ada dalam keadaan baik
1 - Inventaris ada dalam keadaan rusak / buruk
0 - Inventaris hilang",2,2.0,Pass,1 pcs
26,Inventaris,Sekop es batu,"2 - Inventaris ada dalam keadaan baik
1 - Inventaris ada dalam keadaan rusak / buruk
0 - Inventaris hilang",2,2.0,Pass,1 pcs
27,Inventaris,Pembuka botol,"2 - Inventaris ada dalam keadaan baik
1 - Inventaris ada dalam keadaan rusak / buruk
0 - Inventaris hilang",2,2.0,Pass,1 pcs
29,Inventaris,Gunting,"2 - Inventaris ada dalam keadaan baik
1 - Inventaris ada dalam keadaan rusak / buruk
0 - Inventaris hilang",-,2.0,Not Pass,-
33,Inventaris,Asbak (1),"2 - Inventaris ada dalam keadaan baik
1 - Inventaris ada dalam keadaan rusak / buruk
0 - Inventaris hilang",2,2.0,Pass,1 pcs
34,Inventaris,Meja (1),"2 - Inventaris ada dalam keadaan baik
1 - Inventaris ada dalam keadaan rusak / buruk
0 - Inventaris hilang",2,2.0,Pass,1 pcs
35,Inventaris,Kursi (2),"2 - Inventaris ada dalam keadaan baik
1 - Inventaris ada dalam keadaan rusak / buruk
0 - Inventaris hilang",2,2.0,Pass,2 pcs
36,Inventaris,Meja Kasir,"2 - Inventaris ada dalam keadaan baik
1 - Inventaris ada dalam keadaan rusak / buruk
0 - Inventaris hilang",2,2.0,Pass,1 Unit
41,Inventaris,Dokumen,"2 - Inventaris ada dalam keadaan baik
1 - Inventaris ada dalam keadaan rusak / buruk
0 - Inventaris hilang",-,2.0,Not Pass,-
42,Inventaris,NIB,"2 - Inventaris ada dalam keadaan baik
1 - Inventaris ada dalam keadaan rusak / buruk
0 - Inventaris hilang",-,2.0,Not Pass,-
43,Inventaris,Rice Cooker,"2 - Inventaris ada dalam keadaan baik
1 - Inventaris ada dalam keadaan rusak / buruk
0 - Inventaris hilang",2,1.0,Pass,1 Unit
44,Inventaris,Cairan pembersih lantai,"2 - Penyimpanan benar, stok cukup
1 - Penyimpanan salah, stok cukup
0 - Stok habis",2,1.0,Pass,-
45,Inventaris,Cairan pembersih permukaan,"2 - Penyimpanan benar, stok cukup
1 - Penyimpanan salah, stok cukup
0 - Stok habis",-,1.0,Not Pass,-
46,Inventaris,Sabun cuci tangan,"2 - Penyimpanan benar, stok cukup
1 - Penyimpanan salah, stok cukup
0 - Stok habis",-,1.0,Not Pass,-
47,Inventaris,Cairan pembersih kaca,"2 - Penyimpanan benar, stok cukup
1 - Penyimpanan salah, stok cukup
0 - Stok habis",-,1.0,Not Pass,-
48,Inventaris,Plastik sampah,"2 - Penyimpanan benar, stok cukup
1 - Penyimpanan salah, stok cukup
0 - Stok habis",-,1.0,Not Pass,-
49,Inventaris,Plastik kresek,"2 - Penyimpanan benar, stok cukup
1 - Penyimpanan salah, stok cukup
0 - Stok habis",2,1.0,Pass,4 bungkus
50,Inventaris,Gelas plastik,"2 - Penyimpanan benar, stok cukup
1 - Penyimpanan salah, stok cukup
0 - Stok habis",2,1.0,Pass,95 Pcs
53,Inventaris,ATK - Pulpen,"2 - Penyimpanan benar, stok cukup
1 - Penyimpanan salah, stok cukup
0 - Stok habis",2,1.0,Pass,1 pcs
54,Inventaris,ATK - Kertas,"2 - Penyimpanan benar, stok cukup
1 - Penyimpanan salah, stok cukup
0 - Stok habis",-,1.0,Not Pass,-
55,Kebersihan Outlet,Chiller - Kaca luar,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,"Berembun, karena cuaca sedang hujan"
56,Kebersihan Outlet,Chiller - Kaca dalam,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,"Berembun, karena cuaca sedang hujan"
57,Kebersihan Outlet,Chiller - Permukaan atas,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,-
58,Kebersihan Outlet,Chiller - Tepi pintu,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,-
59,Kebersihan Outlet,Chiller - Rak paling bawah,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,Ada genangan air
60,Kebersihan Outlet,Chiller - Lantai sekitar,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,-
61,Kebersihan Outlet,Chiller - Tray air,"2 - Tray air kosong
1 - Tray air terisi > 50%
0 - Tray air overflow",1,2.0,Not Pass,-
62,Kebersihan Outlet,Meja - Permukaan,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,Berantakan
63,Kebersihan Outlet,Meja - Kaki meja,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,-
64,Kebersihan Outlet,Meja - Kolong meja,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,-
65,Kebersihan Outlet,Kursi - Permukaan,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,-
66,Kebersihan Outlet,Kursi - Kaki kursi,"2 - Seluruh kaki kursi kencang
1 - Sebagian kaki kursi longgar
0 - Seluruh kaki kursi longgar",2,1.0,Pass,-
67,Kebersihan Outlet,Lantai - Permukaan,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,-
68,Kebersihan Outlet,Asbak - Puntung rokok,"2 - Kondisi bersih
1 - Ada puntung rokok segar
0 - Banyak puntung / ada puntung rokok lama",1,2.0,Not Pass,Puntung rokok kru
69,Kebersihan Outlet,Asbak - Kebersihan,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,-
70,Kebersihan Outlet,Kebersihan gelas,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",-,2.0,Not Pass,-
71,Kebersihan Outlet,Pembuka botol,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",2,2.0,Pass,-
72,Kebersihan Outlet,Gunting,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",-,2.0,Not Pass,-
73,Kebersihan Outlet,Tablet - Permukaan,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",2,2.0,Pass,-
74,Kebersihan Outlet,Cash register - Permukaan,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",2,2.0,Pass,-
75,Kebersihan Outlet,Rak display - permukaan,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",-,2.0,Not Pass,-
76,Kebersihan Outlet,Rak display - produk,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",-,2.0,Not Pass,-
77,Kebersihan Outlet,Kaca pintu,"2 - Kondisi bersih
1 - Kondisi kotor, baru dibersihkan
0 - Kondisi kotor, tampak jarang dibersihkan",1,2.0,Not Pass,"Berembun, karena cuaca sedang hujan"
